Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2024,"July 17, 2024",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,15013,2024-07-17,15013
2024,"July 17, 2024",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,6251,2024-07-17,6251
2024,"August 15, 2024",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,9025,2024-08-15,9025
2024,"August 15, 2024",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,7224,2024-08-15,7224
2024,"August 15, 2024",Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,11120,2024-08-15,11120
2024,"August 16, 2024",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-08-16,3260
2024,"August 16, 2024",Regular season,Indiana Fever,Phoenix Mercury,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-08-16,17274
2024,"August 16, 2024",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,6191,2024-08-16,6191
2024,"August 17, 2024",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200,2024-08-17,4200
2024,"August 17, 2024",Regular season,Las Vegas Aces,New York Liberty,Michelob ULTRA Arena,Las Vegas,NV,10397,2024-08-17,10397
2024,"August 17, 2024",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,16551,2024-08-17,16551
2024,"August 18, 2024",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3330,2024-08-18,3330
2024,"August 18, 2024",Regular season,Indiana Fever,Seattle Storm,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-08-18,17274
2024,"August 18, 2024",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10311,2024-08-18,10311
2024,"August 18, 2024",Regular season,Phoenix Mercury,Chicago Sky,Footprint Center,Phoenix,AZ,14267,2024-08-18,14267
2024,"August 20, 2024",Regular season,Connecticut Sun,Los Angeles Sparks,TD Garden,Boston,MA,19125,2024-08-20,19125
2024,"August 20, 2024",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,11455,2024-08-20,11455
2024,"August 20, 2024",Regular season,Washington Mystics,Seattle Storm,Entertainment and Sports Arena,Washington,DC,4200,2024-08-20,4200
2024,"August 21, 2024",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-08-21,3260
2024,"August 21, 2024",Regular season,Las Vegas Aces,Minnesota Lynx,Michelob ULTRA Arena,Las Vegas,NV,10429,2024-08-21,10429
2024,"August 22, 2024",Regular season,New York Liberty,Dallas Wings,Barclays Center,Brooklyn,NY,10986,2024-08-22,10986
2024,"August 23, 2024",Regular season,Atlanta Dream,Phoenix Mercury,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-08-23,3260
2024,"August 23, 2024",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8910,2024-08-23,8910
2024,"August 23, 2024",Regular season,Washington Mystics,Los Angeles Sparks,Entertainment and Sports Arena,Washington,DC,4200,2024-08-23,4200
2024,"August 23, 2024",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,9124,2024-08-23,9124
2024,"August 24, 2024",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,13098,2024-08-24,13098
2024,"August 24, 2024",Regular season,Minnesota Lynx,Indiana Fever,Target Center,Minneapolis,MN,19023,2024-08-24,19023
2024,"August 25, 2024",Regular season,Chicago Sky,Las Vegas Aces,Wintrust Arena,Chicago,IL,9025,2024-08-25,9025
2024,"August 25, 2024",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,5925,2024-08-25,5925
2024,"August 26, 2024",Regular season,Atlanta Dream,Indiana Fever,State Farm Arena,Atlanta,GA,17608,2024-08-26,17608
2024,"August 26, 2024",Regular season,Phoenix Mercury,New York Liberty,Footprint Center,Phoenix,AZ,10299,2024-08-26,10299
2024,"August 26, 2024",Regular season,Seattle Storm,Washington Mystics,Climate Pledge Arena,Seattle,WA,9535,2024-08-26,9535
2024,"August 27, 2024",Regular season,Dallas Wings,Las Vegas Aces,College Park Center,Arlington,TX,6251,2024-08-27,6251
2024,"August 28, 2024",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-08-28,17274
2024,"August 28, 2024",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,8763,2024-08-28,8763
2024,"August 28, 2024",Regular season,Los Angeles Sparks,New York Liberty,Crypto.com Arena,Los Angeles,CA,10403,2024-08-28,10403
2024,"August 28, 2024",Regular season,Phoenix Mercury,Minnesota Lynx,Footprint Center,Phoenix,AZ,9482,2024-08-28,9482
2024,"August 28, 2024",Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,9228,2024-08-28,9228
2024,"August 30, 2024",Regular season,Chicago Sky,Indiana Fever,Wintrust Arena,Chicago,IL,9445,2024-08-30,9445
2024,"August 30, 2024",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,5581,2024-08-30,5581
2024,"August 30, 2024",Regular season,Las Vegas Aces,Atlanta Dream,Michelob ULTRA Arena,Las Vegas,NV,10397,2024-08-30,10397
2024,"August 30, 2024",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,15800,2024-08-30,15800
2024,"August 31, 2024",Regular season,Washington Mystics,Connecticut Sun,Entertainment and Sports Arena,Washington,DC,4200,2024-08-31,4200
2024,"September 1, 2024",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,8910,2024-09-01,8910
2024,"September 1, 2024",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8421,2024-09-01,8421
2024,"September 1, 2024",Regular season,Dallas Wings,Indiana Fever,College Park Center,Arlington,TX,6251,2024-09-01,6251
2024,"September 1, 2024",Regular season,Phoenix Mercury,Las Vegas Aces,Footprint Center,Phoenix,AZ,13981,2024-09-01,13981
2024,"September 1, 2024",Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,11165,2024-09-01,11165
2024,"September 3, 2024",Regular season,Connecticut Sun,Seattle Storm,Mohegan Sun Arena,Uncasville,CT,7454,2024-09-03,7454
2024,"September 3, 2024",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,5129,2024-09-03,5129
2024,"September 3, 2024",Regular season,Las Vegas Aces,Chicago Sky,T-Mobile Arena,Las Vegas,NV,18394,2024-09-03,18394
2024,"September 3, 2024",Regular season,Phoenix Mercury,Atlanta Dream,Footprint Center,Phoenix,AZ,7639,2024-09-03,7639
2024,"September 4, 2024",Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,16645,2024-09-04,16645
2024,"September 5, 2024",Regular season,New York Liberty,Seattle Storm,Barclays Center,Brooklyn,NY,10873,2024-09-05,10873
2024,"September 5, 2024",Regular season,Phoenix Mercury,Washington Mystics,Footprint Center,Phoenix,AZ,7709,2024-09-05,7709
2024,"September 6, 2024",Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-09-06,3260
2024,"September 6, 2024",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,8910,2024-09-06,8910
2024,"September 6, 2024",Regular season,Indiana Fever,Minnesota Lynx,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-09-06,17274
2024,"September 6, 2024",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,9025,2024-09-06,9025
2024,"September 7, 2024",Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,14066,2024-09-07,14066
2024,"September 8, 2024",Regular season,Washington Mystics,Minnesota Lynx,Entertainment and Sports Arena,Washington,DC,4200,2024-09-08,4200
2024,"September 8, 2024",Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-09-08,17274
2024,"September 8, 2024",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,15393,2024-09-08,15393
2024,"September 8, 2024",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,8704,2024-09-08,8704
2024,"September 8, 2024",Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,10627,2024-09-08,10627
2024,"September 10, 2024",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-09-10,3260
2024,"September 10, 2024",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,5157,2024-09-10,5157
2024,"September 10, 2024",Regular season,Los Angeles Sparks,Connecticut Sun,Crypto.com Arena,Los Angeles,CA,8253,2024-09-10,8253
2024,"September 11, 2024",Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-09-11,17274
2024,"September 11, 2024",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7948,2024-09-11,7948
2024,"September 11, 2024",Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,9561,2024-09-11,9561
2024,"September 12, 2024",Regular season,Dallas Wings,New York Liberty,College Park Center,Arlington,TX,5384,2024-09-12,5384
2024,"September 13, 2024",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3260,2024-09-13,3260
2024,"September 13, 2024",Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-09-13,17274
2024,"September 13, 2024",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,5728,2024-09-13,5728
2024,"September 13, 2024",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,8810,2024-09-13,8810
2024,"September 13, 2024",Regular season,Phoenix Mercury,Connecticut Sun,Footprint Center,Phoenix,AZ,14190,2024-09-13,14190
2024,"September 15, 2024",Regular season,Indiana Fever,Dallas Wings,Gainbridge Fieldhouse,Indianapolis,IN,17274,2024-09-15,17274
2024,"September 15, 2024",Regular season,New York Liberty,Minnesota Lynx,Barclays Center,Brooklyn,NY,14246,2024-09-15,14246
2024,"September 15, 2024",Regular season,Washington Mystics,Atlanta Dream,Entertainment and Sports Arena,Washington,DC,4200,2024-09-15,4200
2024,"September 15, 2024",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,8577,2024-09-15,8577
2024,"September 15, 2024",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10431,2024-09-15,10431
2024,"September 15, 2024",Regular season,Seattle Storm,Los Angeles Sparks,Climate Pledge Arena,Seattle,WA,11301,2024-09-15,11301
2024,"September 17, 2024",Regular season,Connecticut Sun,Minnesota Lynx,Mohegan Sun Arena,Uncasville,CT,8174,2024-09-17,8174
2024,"September 17, 2024",Regular season,Washington Mystics,New York Liberty,Entertainment and Sports Arena,Washington,DC,4200,2024-09-17,4200
2024,"September 17, 2024",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3355,2024-09-17,3355
2024,"September 17, 2024",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,14298,2024-09-17,14298
2024,"September 17, 2024",Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,11294,2024-09-17,11294
2024,"September 19, 2024",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8092,2024-09-19,8092
2024,"September 19, 2024",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,12721,2024-09-19,12721
2024,"September 19, 2024",Regular season,Washington Mystics,Indiana Fever,Capital One Arena,Washington,DC,20711,2024-09-19,20711
2024,"September 19, 2024",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,7908,2024-09-19,7908
2024,"September 19, 2024",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10376,2024-09-19,10376
2024,"September 19, 2024",Regular season,Phoenix Mercury,Seattle Storm,Footprint Center,Phoenix,AZ,11333,2024-09-19,11333
2025,"May 16, 2025",Regular season,Washington Mystics,Atlanta Dream,CareFirst Arena,Washington,DC,4200,2025-05-16,4200
2025,"May 16, 2025",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,6251,2025-05-16,6251
2025,"May 16, 2025",Regular season,Golden State Valkyries,Los Angeles Sparks,Chase Center,San Francisco,CA,18064,2025-05-16,18064
2025,"May 17, 2025",Regular season,New York Liberty,Las Vegas Aces,Barclays Center,Brooklyn,NY,17344,2025-05-17,17344
2025,"May 17, 2025",Regular season,Indiana Fever,Chicago Sky,Gainbridge Fieldhouse,Indianapolis,IN,17274,2025-05-17,17274
2025,"May 17, 2025",Regular season,Phoenix Mercury,Seattle Storm,PHX Arena,Phoenix,AZ,10623,2025-05-17,10623
2025,"May 18, 2025",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,7834,2025-05-18,7834
2025,"May 18, 2025",Regular season,Los Angeles Sparks,Minnesota Lynx,Crypto.com Arena,Los Angeles,CA,11170,2025-05-18,11170
2025,"May 19, 2025",Regular season,Dallas Wings,Seattle Storm,College Park Center,Arlington,TX,6137,2025-05-19,6137
2025,"May 20, 2025",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,8179,2025-05-20,8179
2025,"May 20, 2025",Regular season,Indiana Fever,Atlanta Dream,Gainbridge Fieldhouse,Indianapolis,IN,16269,2025-05-20,16269
2025,"May 21, 2025",Regular season,Minnesota Lynx,Dallas Wings,Target Center,Minneapolis,MN,12772,2025-05-21,12772
2025,"May 21, 2025",Regular season,Golden State Valkyries,Washington Mystics,Chase Center,San Francisco,CA,18064,2025-05-21,18064
2025,"May 21, 2025",Regular season,Phoenix Mercury,Los Angeles Sparks,PHX Arena,Phoenix,AZ,8024,2025-05-21,8024
2025,"May 22, 2025",Regular season,Atlanta Dream,Indiana Fever,State Farm Arena,Atlanta,GA,17044,2025-05-22,17044
2025,"May 22, 2025",Regular season,Chicago Sky,New York Liberty,Wintrust Arena,Chicago,IL,9025,2025-05-22,9025
2025,"May 23, 2025",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8224,2025-05-23,8224
2025,"May 23, 2025",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,10509,2025-05-23,10509
2025,"May 23, 2025",Regular season,Los Angeles Sparks,Golden State Valkyries,Crypto.com Arena,Los Angeles,CA,10857,2025-05-23,10857
2025,"May 23, 2025",Regular season,Seattle Storm,Phoenix Mercury,Climate Pledge Arena,Seattle,WA,9091,2025-05-23,9091
2025,"May 24, 2025",Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,17274,2025-05-24,17274
2025,"May 24, 2025",Regular season,Atlanta Dream,Dallas Wings,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-05-24,3265
2025,"May 25, 2025",Regular season,Atlanta Dream,Connecticut Sun,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-05-25,3265
2025,"May 25, 2025",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,11422,2025-05-25,11422
2025,"May 25, 2025",Regular season,Phoenix Mercury,Washington Mystics,PHX Arena,Phoenix,AZ,10065,2025-05-25,10065
2025,"May 25, 2025",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,10634,2025-05-25,10634
2025,"May 27, 2025",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,8910,2025-05-27,8910
2025,"May 27, 2025",Regular season,New York Liberty,Golden State Valkyries,Barclays Center,Brooklyn,NY,14774,2025-05-27,14774
2025,"May 27, 2025",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,7808,2025-05-27,7808
2025,"May 27, 2025",Regular season,Los Angeles Sparks,Atlanta Dream,Crypto.com Arena,Los Angeles,CA,10797,2025-05-27,10797
2025,"May 27, 2025",Regular season,Phoenix Mercury,Chicago Sky,PHX Arena,Phoenix,AZ,8818,2025-05-27,8818
2025,"May 28, 2025",Regular season,Washington Mystics,Indiana Fever,CFG Bank Arena,Baltimore,MD,11183,2025-05-28,11183
2025,"May 29, 2025",Regular season,New York Liberty,Golden State Valkyries,Barclays Center,Brooklyn,NY,14951,2025-05-29,14951
2025,"May 29, 2025",Regular season,Chicago Sky,Dallas Wings,Wintrust Arena,Chicago,IL,9025,2025-05-29,9025
2025,"May 30, 2025",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,16213,2025-05-30,16213
2025,"May 30, 2025",Regular season,Washington Mystics,New York Liberty,CareFirst Arena,Washington,DC,4200,2025-05-30,4200
2025,"May 30, 2025",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10504,2025-05-30,10504
2025,"May 30, 2025",Regular season,Phoenix Mercury,Minnesota Lynx,PHX Arena,Phoenix,AZ,9043,2025-05-30,9043
2025,"May 30, 2025",Regular season,Seattle Storm,Atlanta Dream,Climate Pledge Arena,Seattle,WA,9666,2025-05-30,9666
2025,"May 31, 2025",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,6251,2025-05-31,6251
2025,"June 1, 2025",Regular season,New York Liberty,Connecticut Sun,Barclays Center,Brooklyn,NY,17415,2025-06-01,17415
2025,"June 1, 2025",Regular season,Los Angeles Sparks,Phoenix Mercury,Crypto.com Arena,Los Angeles,CA,11033,2025-06-01,11033
2025,"June 1, 2025",Regular season,Seattle Storm,Las Vegas Aces,Climate Pledge Arena,Seattle,WA,10201,2025-06-01,10201
2025,"June 1, 2025",Regular season,Golden State Valkyries,Minnesota Lynx,Chase Center,San Francisco,CA,18064,2025-06-01,18064
2025,"June 3, 2025",Regular season,Indiana Fever,Washington Mystics,Gainbridge Fieldhouse,Indianapolis,IN,16013,2025-06-03,16013
2025,"June 3, 2025",Regular season,Minnesota Lynx,Phoenix Mercury,Target Center,Minneapolis,MN,8772,2025-06-03,8772
2025,"June 3, 2025",Regular season,Seattle Storm,Dallas Wings,Climate Pledge Arena,Seattle,WA,10252,2025-06-03,10252
2025,"June 5, 2025",Regular season,Washington Mystics,New York Liberty,CareFirst Arena,Washington,DC,4200,2025-06-05,4200
2025,"June 5, 2025",Regular season,Phoenix Mercury,Golden State Valkyries,PHX Arena,Phoenix,AZ,9943,2025-06-05,9943
2025,"June 6, 2025",Regular season,Connecticut Sun,Atlanta Dream,Mohegan Sun Arena,Uncasville,CT,8078,2025-06-06,8078
2025,"June 6, 2025",Regular season,Dallas Wings,Los Angeles Sparks,College Park Center,Arlington,TX,6007,2025-06-06,6007
2025,"June 7, 2025",Regular season,Golden State Valkyries,Las Vegas Aces,Chase Center,San Francisco,CA,18064,2025-06-07,18064
2025,"June 7, 2025",Regular season,Chicago Sky,Indiana Fever,United Center,Chicago,IL,19496,2025-06-07,19496
2025,"June 7, 2025",Regular season,Phoenix Mercury,Seattle Storm,PHX Arena,Phoenix,AZ,9876,2025-06-07,9876
2025,"June 8, 2025",Regular season,Washington Mystics,Connecticut Sun,CareFirst Arena,Washington,DC,4200,2025-06-08,4200
2025,"June 8, 2025",Regular season,Dallas Wings,Minnesota Lynx,College Park Center,Arlington,TX,6162,2025-06-08,6162
2025,"June 9, 2025",Regular season,Los Angeles Sparks,Golden State Valkyries,Crypto.com Arena,Los Angeles,CA,10921,2025-06-09,10921
2025,"June 10, 2025",Regular season,Atlanta Dream,Indiana Fever,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-06-10,3265
2025,"June 10, 2025",Regular season,New York Liberty,Chicago Sky,Barclays Center,Brooklyn,NY,16081,2025-06-10,16081
2025,"June 11, 2025",Regular season,Las Vegas Aces,Los Angeles Sparks,Michelob ULTRA Arena,Las Vegas,NV,10417,2025-06-11,10417
2025,"June 11, 2025",Regular season,Phoenix Mercury,Dallas Wings,PHX Arena,Phoenix,AZ,13001,2025-06-11,13001
2025,"June 11, 2025",Regular season,Seattle Storm,Minnesota Lynx,Climate Pledge Arena,Seattle,WA,9722,2025-06-11,9722
2025,"June 13, 2025",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3296,2025-06-13,3296
2025,"June 13, 2025",Regular season,Las Vegas Aces,Dallas Wings,Michelob ULTRA Arena,Las Vegas,NV,10428,2025-06-13,10428
2025,"June 14, 2025",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,10810,2025-06-14,10810
2025,"June 14, 2025",Regular season,Indiana Fever,New York Liberty,Gainbridge Fieldhouse,Indianapolis,IN,17274,2025-06-14,17274
2025,"June 14, 2025",Regular season,Golden State Valkyries,Seattle Storm,Chase Center,San Francisco,CA,18064,2025-06-14,18064
2025,"June 15, 2025",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,8451,2025-06-15,8451
2025,"June 15, 2025",Regular season,Washington Mystics,Atlanta Dream,CareFirst Arena,Washington,DC,4200,2025-06-15,4200
2025,"June 15, 2025",Regular season,Las Vegas Aces,Phoenix Mercury,Michelob ULTRA Arena,Las Vegas,NV,10497,2025-06-15,10497
2025,"June 17, 2025",Regular season,Indiana Fever,Connecticut Sun,Gainbridge Fieldhouse,Indianapolis,IN,16284,2025-06-17,16284
2025,"June 17, 2025",Regular season,New York Liberty,Atlanta Dream,Barclays Center,Brooklyn,NY,15149,2025-06-17,15149
2025,"June 17, 2025",Regular season,Chicago Sky,Washington Mystics,Wintrust Arena,Chicago,IL,7579,2025-06-17,7579
2025,"June 17, 2025",Regular season,Dallas Wings,Golden State Valkyries,College Park Center,Arlington,TX,6061,2025-06-17,6061
2025,"June 17, 2025",Regular season,Minnesota Lynx,Las Vegas Aces,Target Center,Minneapolis,MN,8802,2025-06-17,8802
2025,"June 17, 2025",Regular season,Los Angeles Sparks,Seattle Storm,Crypto.com Arena,Los Angeles,CA,10581,2025-06-17,10581
2025,"June 18, 2025",Regular season,Connecticut Sun,Phoenix Mercury,Mohegan Sun Arena,Uncasville,CT,7864,2025-06-18,7864
2025,"June 19, 2025",Regular season,New York Liberty,Phoenix Mercury,Barclays Center,Brooklyn,NY,16383,2025-06-19,16383
2025,"June 19, 2025",Regular season,Golden State Valkyries,Indiana Fever,Chase Center,San Francisco,CA,18064,2025-06-19,18064
2025,"June 20, 2025",Regular season,Atlanta Dream,Washington Mystics,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-06-20,3265
2025,"June 20, 2025",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,8910,2025-06-20,8910
2025,"June 20, 2025",Regular season,Las Vegas Aces,Seattle Storm,Michelob ULTRA Arena,Las Vegas,NV,10428,2025-06-20,10428
2025,"June 21, 2025",Regular season,Chicago Sky,Phoenix Mercury,Wintrust Arena,Chicago,IL,7291,2025-06-21,7291
2025,"June 21, 2025",Regular season,Minnesota Lynx,Los Angeles Sparks,Target Center,Minneapolis,MN,8777,2025-06-21,8777
2025,"June 22, 2025",Regular season,Atlanta Dream,Chicago Sky,Gateway Center Arena @ College Park,Atlanta,GA,3283,2025-06-22,3283
2025,"June 22, 2025",Regular season,Washington Mystics,Dallas Wings,CareFirst Arena,Washington,DC,4200,2025-06-22,4200
2025,"June 22, 2025",Regular season,Las Vegas Aces,Indiana Fever,T-Mobile Arena,Las Vegas,NV,18547,2025-06-22,18547
2025,"June 22, 2025",Regular season,Seattle Storm,New York Liberty,Climate Pledge Arena,Seattle,WA,12500,2025-06-22,12500
2025,"June 22, 2025",Regular season,Golden State Valkyries,Connecticut Sun,Chase Center,San Francisco,CA,18064,2025-06-22,18064
2025,"June 24, 2025",Regular season,Washington Mystics,Minnesota Lynx,CareFirst Arena,Washington,DC,4200,2025-06-24,4200
2025,"June 24, 2025",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,8004,2025-06-24,8004
2025,"June 24, 2025",Regular season,Dallas Wings,Atlanta Dream,College Park Center,Arlington,TX,6251,2025-06-24,6251
2025,"June 24, 2025",Regular season,Seattle Storm,Indiana Fever,Climate Pledge Arena,Seattle,WA,18343,2025-06-24,18343
2025,"June 25, 2025",Regular season,Golden State Valkyries,New York Liberty,Chase Center,San Francisco,CA,18064,2025-06-25,18064
2025,"June 25, 2025",Regular season,Las Vegas Aces,Connecticut Sun,Michelob ULTRA Arena,Las Vegas,NV,10432,2025-06-25,10432
2025,"June 26, 2025",Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,17274,2025-06-26,17274
2025,"June 26, 2025",Regular season,Las Vegas Aces,Washington Mystics,Michelob ULTRA Arena,Las Vegas,NV,10427,2025-06-26,10427
2025,"June 27, 2025",Regular season,Atlanta Dream,Minnesota Lynx,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-06-27,3265
2025,"June 27, 2025",Regular season,Dallas Wings,Indiana Fever,American Airlines Center,Dallas,TX,20409,2025-06-27,20409
2025,"June 27, 2025",Regular season,Golden State Valkyries,Chicago Sky,Chase Center,San Francisco,CA,18064,2025-06-27,18064
2025,"June 27, 2025",Regular season,Phoenix Mercury,New York Liberty,PHX Arena,Phoenix,AZ,12009,2025-06-27,12009
2025,"June 27, 2025",Regular season,Seattle Storm,Connecticut Sun,Climate Pledge Arena,Seattle,WA,10776,2025-06-27,10776
2025,"June 28, 2025",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,6006,2025-06-28,6006
2025,"June 29, 2025",Regular season,Atlanta Dream,New York Liberty,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-06-29,3265
2025,"June 29, 2025",Regular season,Los Angeles Sparks,Chicago Sky,Crypto.com Arena,Los Angeles,CA,13523,2025-06-29,13523
2025,"June 29, 2025",Regular season,Phoenix Mercury,Las Vegas Aces,PHX Arena,Phoenix,AZ,13247,2025-06-29,13247
2025,"June 29, 2025",Regular season,Minnesota Lynx,Connecticut Sun,Target Center,Minneapolis,MN,8821,2025-06-29,8821
2025,"June 29, 2025",Regular season,Golden State Valkyries,Seattle Storm,Chase Center,San Francisco,CA,18064,2025-06-29,18064
2025,"July 3, 2025",Regular season,Indiana Fever,Las Vegas Aces,Gainbridge Fieldhouse,Indianapolis,IN,16509,2025-07-03,16509
2025,"July 3, 2025",Regular season,New York Liberty,Los Angeles Sparks,Barclays Center,Brooklyn,NY,15956,2025-07-03,15956
2025,"July 3, 2025",Regular season,Atlanta Dream,Seattle Storm,Gateway Center Arena @ College Park,Atlanta,GA,3265,2025-07-03,3265
2025,"July 3, 2025",Regular season,Dallas Wings,Phoenix Mercury,College Park Center,Arlington,TX,6162,2025-07-03,6162
2025,"July 3, 2025",Regular season,Minnesota Lynx,Washington Mystics,Target Center,Minneapolis,MN,8824,2025-07-03,8824
2025,"July 5, 2025",Regular season,Indiana Fever,Los Angeles Sparks,Gainbridge Fieldhouse,Indianapolis,IN,17274,2025-07-05,17274
2025,"July 5, 2025",Regular season,Minnesota Lynx,Golden State Valkyries,Target Center,Minneapolis,MN,8771,2025-07-05,8771
