Season,Date,Game Type,Team,Opponent,Arena,City,State,Attendance,game_date,attendance
2018,"July 21, 2018",Regular season,Phoenix Mercury,Minnesota Lynx,Talking Stick Resort Arena,Phoenix,AZ,11473,2018-07-21,11473
2018,"July 22, 2018",Regular season,Atlanta Dream,Seattle Storm,McCamish Pavilion,Atlanta,GA,4916,2018-07-22,4916
2018,"July 22, 2018",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,4935,2018-07-22,4935
2018,"July 22, 2018",Regular season,Las Vegas Aces,Indiana Fever,Mandalay Bay Events Center,Las Vegas,NV,5368,2018-07-22,5368
2018,"July 22, 2018",Regular season,Chicago Sky,Los Angeles Sparks,Wintrust Arena,Chicago,IL,6477,2018-07-22,6477
2018,"July 24, 2018",Regular season,Connecticut Sun,Washington Mystics,Mohegan Sun Arena,Uncasville,CT,5125,2018-07-24,5125
2018,"July 24, 2018",Regular season,Indiana Fever,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,5908,2018-07-24,5908
2018,"July 24, 2018",Regular season,Minnesota Lynx,New York Liberty,Target Center,Minneapolis,MN,9830,2018-07-24,9830
2018,"July 24, 2018",Regular season,Los Angeles Sparks,Atlanta Dream,Staples Center,Los Angeles,CA,9324,2018-07-24,9324
2018,"July 25, 2018",Regular season,Phoenix Mercury,Chicago Sky,Talking Stick Resort Arena,Phoenix,AZ,10338,2018-07-25,10338
2018,"July 31, 2018",Regular season,Atlanta Dream,Washington Mystics,McCamish Pavilion,Atlanta,GA,3648,2018-07-31,3648
2018,"July 31, 2018",Regular season,Dallas Wings,Chicago Sky,College Park Center,Arlington,TX,3696,2018-07-31,3696
2018,"July 31, 2018",Regular season,Phoenix Mercury,Seattle Storm,Talking Stick Resort Arena,Phoenix,AZ,10005,2018-07-31,10005
2018,"August 1, 2018",Regular season,Connecticut Sun,New York Liberty,Mohegan Sun Arena,Uncasville,CT,6412,2018-08-01,6412
2018,"August 1, 2018",Regular season,Las Vegas Aces,Phoenix Mercury,Mandalay Bay Events Center,Las Vegas,NV,5129,2018-08-01,5129
2018,"August 2, 2018",Regular season,Indiana Fever,Dallas Wings,Bankers Life Fieldhouse,Indianapolis,IN,5981,2018-08-02,5981
2018,"August 2, 2018",Regular season,Los Angeles Sparks,Minnesota Lynx,Staples Center,Los Angeles,CA,9542,2018-08-02,9542
2018,"August 3, 2018",Regular season,Atlanta Dream,Chicago Sky,McCamish Pavilion,Atlanta,GA,5120,2018-08-03,5120
2018,"August 3, 2018",Regular season,Seattle Storm,Minnesota Lynx,KeyArena,Seattle,WA,12064,2018-08-03,12064
2018,"August 4, 2018",Regular season,New York Liberty,Indiana Fever,Westchester County Center,White Plains,NY,2225,2018-08-04,2225
2018,"August 5, 2018",Regular season,Connecticut Sun,Las Vegas Aces,Mohegan Sun Arena,Uncasville,CT,6791,2018-08-05,6791
2018,"August 5, 2018",Regular season,Dallas Wings,Washington Mystics,College Park Center,Arlington,TX,5623,2018-08-05,5623
2018,"August 5, 2018",Regular season,Los Angeles Sparks,Phoenix Mercury,Staples Center,Los Angeles,CA,19076,2018-08-05,19076
2018,"August 5, 2018",Regular season,Minnesota Lynx,Atlanta Dream,Target Center,Minneapolis,MN,9333,2018-08-05,9333
2018,"August 6, 2018",Regular season,New York Liberty,Seattle Storm,Madison Square Garden,New York,NY,12488,2018-08-06,12488
2018,"August 7, 2018",Regular season,Atlanta Dream,Las Vegas Aces,McCamish Pavilion,Atlanta,GA,4033,2018-08-07,4033
2018,"August 7, 2018",Regular season,Indiana Fever,Seattle Storm,Bankers Life Fieldhouse,Indianapolis,IN,6401,2018-08-07,6401
2018,"August 7, 2018",Regular season,Chicago Sky,Minnesota Lynx,Wintrust Arena,Chicago,IL,6388,2018-08-07,6388
2018,"August 7, 2018",Regular season,Phoenix Mercury,Washington Mystics,Talking Stick Resort Arena,Phoenix,AZ,7769,2018-08-07,7769
2018,"August 8, 2018",Regular season,New York Liberty,Los Angeles Sparks,Westchester County Center,White Plains,NY,2481,2018-08-08,2481
2018,"August 8, 2018",Regular season,Dallas Wings,Connecticut Sun,College Park Center,Arlington,TX,3483,2018-08-08,3483
2018,"August 9, 2018",Regular season,Washington Mystics,Seattle Storm,Capital One Arena,Washington,DC,6808,2018-08-09,6808
2018,"August 9, 2018",Regular season,Atlanta Dream,Los Angeles Sparks,McCamish Pavilion,Atlanta,GA,4235,2018-08-09,4235
2018,"August 9, 2018",Regular season,Las Vegas Aces,Minnesota Lynx,Mandalay Bay Events Center,Las Vegas,NV,4497,2018-08-09,4497
2018,"August 10, 2018",Regular season,Chicago Sky,Connecticut Sun,Wintrust Arena,Chicago,IL,5976,2018-08-10,5976
2018,"August 10, 2018",Regular season,Phoenix Mercury,Indiana Fever,Talking Stick Resort Arena,Phoenix,AZ,8860,2018-08-10,8860
2018,"August 11, 2018",Regular season,Atlanta Dream,Dallas Wings,McCamish Pavilion,Atlanta,GA,4937,2018-08-11,4937
2018,"August 11, 2018",Regular season,Las Vegas Aces,Indiana Fever,Mandalay Bay Events Center,Las Vegas,NV,5213,2018-08-11,5213
2018,"August 12, 2018",Regular season,New York Liberty,Atlanta Dream,Westchester County Center,White Plains,NY,2362,2018-08-12,2362
2018,"August 12, 2018",Regular season,Connecticut Sun,Chicago Sky,Mohegan Sun Arena,Uncasville,CT,7687,2018-08-12,7687
2018,"August 12, 2018",Regular season,Washington Mystics,Dallas Wings,Capital One Arena,Washington,DC,6362,2018-08-12,6362
2018,"August 12, 2018",Regular season,Phoenix Mercury,Los Angeles Sparks,Talking Stick Resort Arena,Phoenix,AZ,10618,2018-08-12,10618
2018,"August 12, 2018",Regular season,Minnesota Lynx,Seattle Storm,Target Center,Minneapolis,MN,9123,2018-08-12,9123
2018,"August 14, 2018",Regular season,Connecticut Sun,Dallas Wings,Mohegan Sun Arena,Uncasville,CT,6365,2018-08-14,6365
2018,"August 14, 2018",Regular season,Minnesota Lynx,Chicago Sky,Target Center,Minneapolis,MN,9730,2018-08-14,9730
