".rownames","attendance","rolling_wins_44","dow","month","team_name","Season",".fitted",".resid",".hat",".sigma",".cooksd",".std.resid"
"118",14246,37,"Sun","9","NEW YORK LIBERTY","2024",12180.6313662524,2065.36863374761,0.0269366836956415,2473.09371590018,0.000708788199197699,0.846712052281422
"119",12721,36,"Thu","9","NEW YORK LIBERTY","2024",11704.7083580404,1016.29164195963,0.0290608286854234,2473.63193994252,0.000185960221585576,0.417091229104651
"120",11210,24,"Fri","5","PHOENIX MERCURY","2018",9206.74475595173,2003.25524404827,0.0215501738330065,2473.13950348939,0.000527601025887057,0.818984575912446
"121",8068,24,"Wed","5","PHOENIX MERCURY","2018",9630.67732068043,-1562.67732068043,0.0256043969213221,2473.39812922758,0.000384628920715079,-0.640192181710061
"122",8188,23,"Wed","5","PHOENIX MERCURY","2018",9488.5726678675,-1300.57266786751,0.0254461189047556,2473.52302743013,0.000264690579690673,-0.532770794727833
"123",8834,25,"Fri","6","PHOENIX MERCURY","2018",9438.92307112965,-604.923071129655,0.0188371839410452,2473.74391317027,4.18209131320172e-05,-0.246966656650337
"124",8471,25,"Sun","6","PHOENIX MERCURY","2018",9769.61008177219,-1298.61008177219,0.0182265362887727,2473.52593863853,0.000186250953191471,-0.530007286270223
"125",12497,26,"Sat","6","PHOENIX MERCURY","2018",10296.6137651367,2200.38623486329,0.0229611855799623,2473.0010326639,0.000680186348422987,0.900226359785309
"126",11349,26,"Fri","6","PHOENIX MERCURY","2018",9581.02772394258,1767.97227605742,0.0191202840644203,2473.28780653914,0.000362804889739356,0.7218987473967
"127",8599,26,"Thu","7","PHOENIX MERCURY","2018",10436.7810897061,-1837.7810897061,0.0218930677184572,2473.24462121212,0.000451420108929645,-0.751465980624348
"128",8587,26,"Thu","7","PHOENIX MERCURY","2018",10436.7810897061,-1849.7810897061,0.0218930677184572,2473.23728669743,0.000457334553180168,-0.756372762948969
"129",11473,25,"Sat","7","PHOENIX MERCURY","2018",11013.3938228439,459.606177156133,0.0233895365365207,2473.76930570163,3.02558934582992e-05,0.188076218898862
"130",10338,24,"Wed","7","PHOENIX MERCURY","2018",10579.6356935655,-241.635693565517,0.0220337878442832,2473.79468713843,7.85639000450761e-06,-0.0988115874432914
"131",10005,23,"Tue","7","PHOENIX MERCURY","2018",9258.02215149816,746.977848501836,0.0197075036689204,2473.7121056321,6.683363822083e-05,0.305097464532158
"132",7769,23,"Tue","8","PHOENIX MERCURY","2018",9351.74873958023,-1582.74873958023,0.0196903082479035,2473.39014010217,0.0002997845680438,-0.64645610739948
"133",8860,23,"Fri","8","PHOENIX MERCURY","2018",10107.3250641059,-1247.32506410595,0.0192628999273472,2473.5472253506,0.000181984816867633,-0.509345016894998
"134",10618,24,"Sun","8","PHOENIX MERCURY","2018",10580.1167275614,37.8832724385902,0.018674567227954,2473.80412702419,1.6254694422197e-07,0.0154649911069633
"135",11177,24,"Fri","8","PHOENIX MERCURY","2018",10249.4297169189,927.570283081126,0.0194559719001873,2473.66213863905,0.000101688486452613,0.37881048535774
"136",13106,24,"Sun","8","PHOENIX MERCURY","2018",10580.1167275614,2525.88327243859,0.018674567227954,2472.75035528483,0.000722620684204475,1.03113484741324
"137",14090,25,"Fri","5","PHOENIX MERCURY","2019",8943.40060895196,5146.59939104804,0.0225688131741581,2469.40815030097,0.0036545715081271,2.10516423414968
"138",10381,25,"Fri","6","PHOENIX MERCURY","2019",9033.47427131696,1347.52572868304,0.0189064039738373,2473.50435924808,0.000208315498052478,0.550161962079357
"139",10132,25,"Sun","6","PHOENIX MERCURY","2019",9364.16128195949,767.838718040508,0.0186136375851478,2473.70698922643,6.65503937577996e-05,0.313443099196546
"140",9435,25,"Fri","6","PHOENIX MERCURY","2019",9033.47427131696,401.525728683042,0.0189064039738373,2473.77772880865,1.84958462720825e-05,0.163933183623517
"141",9560,25,"Fri","7","PHOENIX MERCURY","2019",9892.35898183704,-332.358981837042,0.0200163870087645,2473.78609417771,1.34469038559444e-05,-0.135770909627747
"142",9850,24,"Sun","7","PHOENIX MERCURY","2019",10080.9413396666,-230.94133966665,0.0191625387802041,2473.79555062666,6.20471327398758e-06,-0.0943000391664027
"143",10143,25,"Wed","7","PHOENIX MERCURY","2019",10316.2915465657,-173.29154656575,0.0226037289030949,2473.79938413938,4.15004578023632e-06,-0.0708844139934256
"144",8528,25,"Tue","7","PHOENIX MERCURY","2019",9136.78265731132,-608.782657311323,0.0210928688024667,2473.74299822981,4.76471148967739e-05,-0.248828568127144
"145",9025,23,"Sun","8","PHOENIX MERCURY","2019",10032.5632749358,-1007.56327493578,0.0180890951337098,2473.63678279031,0.000111244034967707,-0.411192327351538
"146",9717,22,"Sat","8","PHOENIX MERCURY","2019",10275.3576526745,-558.357652674451,0.0220504776710293,2473.75269254281,4.19826131904252e-05,-0.228329995432955
"147",8734,21,"Wed","8","PHOENIX MERCURY","2019",9841.5995233961,-1107.5995233961,0.0219562572837759,2473.60105193451,0.000164462418180913,-0.452910443816596
"148",8480,21,"Fri","8","PHOENIX MERCURY","2019",9417.66695866739,-937.666958667392,0.0183093186404001,2473.65919519235,9.7561724680219e-05,-0.3827101610862
"149",9145,22,"Sun","8","PHOENIX MERCURY","2019",9890.45862212286,-745.458622122856,0.0179454593106402,2473.7126453979,6.03934507322428e-05,-0.30420367255149
"150",12054,21,"Sun","8","PHOENIX MERCURY","2019",9748.35396930993,2305.64603069007,0.017854957501919,2472.92690903465,0.000574714598539276,0.940835149318679
"151",8724,21,"Tue","9","PHOENIX MERCURY","2019",8837.25668229119,-113.256682291189,0.0254682690215932,2473.80223067427,2.0090675008981e-06,-0.0463953609446094
"152",12140,21,"Fri","9","PHOENIX MERCURY","2019",9592.83300681691,2547.16699318309,0.0240170753229652,2472.72664534043,0.00095545429214097,1.04266554685369
"153",13135,20,"Sun","9","PHOENIX MERCURY","2019",9781.41536464652,3353.58463535348,0.02303823824019,2471.93779934891,0.00158552127460622,1.37207927023606
"165",4101,23,"Fri","5","PHOENIX MERCURY","2021",4885.6900908998,-784.690090899797,0.0217959119004699,2473.70233732138,8.19165836031389e-05,-0.320842688029737
